#QM    interpInQMgrid400k    MM
-2.640968 -2.638792 -1.148401
7.063803 7.075763 6.478508
-0.336892 -0.336141 -0.643339
0.185788 0.238700 0.136867
2.181436 2.240122 1.095192
0.838839 0.684372 0.489803
-0.485708 -0.466865 -0.248669
-0.861190 -0.688155 -0.447635
1.641032 1.657816 0.376088
-2.273880 -2.308579 -0.904539
-0.492016 -0.421909 -0.204307
-0.502863 -0.485290 -0.242493
4.406606 4.336096 0.772604
0.223278 0.322590 0.156589
0.539463 0.377025 0.252210
-0.235550 -0.148831 -0.045998
1.557625 1.307029 0.881905
0.189150 0.159668 0.076871
-0.379083 -0.480721 -0.172688
-0.232536 -0.245477 -0.136164
7.597434 7.213727 2.383291
-2.743773 -2.714328 -1.334425
0.431876 0.756414 0.462474
-0.351480 -0.323564 -0.102241
-0.058986 -0.096966 -0.099726
-2.449447 -2.447642 -1.335888
0.214329 0.214177 0.162788
-0.586061 -0.635925 -0.136442
-2.794052 -2.796700 -1.064391
0.646041 0.693536 0.454123
50.283464 45.746100 10.222386
0.363022 0.305624 0.167078
2.687987 2.713343 1.162456
-0.083019 0.055903 -0.004163
0.153851 0.270081 0.090857
-1.188164 -1.215592 -0.794587
0.827370 0.842129 0.344087
0.141075 0.119211 0.152533
-0.298703 -0.301673 -0.269207
0.349849 0.405450 0.142285
-0.335375 -0.241589 -0.151548
0.206563 0.127241 0.221646
0.471540 0.646068 0.330730
-1.133292 -0.883408 -0.534592
-0.586502 -0.601167 -0.313788
0.179363 0.186854 0.077790
0.043886 -0.011096 -0.040349
0.967838 0.969779 0.713259
0.504575 0.337551 0.422466
-1.012728 -0.931245 -0.169836
-1.114462 -1.166314 -0.648513
1.566116 1.778847 0.297021
0.000018 -0.128478 0.030939
0.480527 0.531491 0.369425
3.013659 2.996770 2.295127
0.136871 0.194670 0.090969
-0.094772 -0.187209 -0.006200
-0.781433 -0.837409 -0.371895
-1.923597 -1.920282 -0.762913
-0.414137 -0.406996 -0.242202
-0.678045 -0.650374 0.008364
-0.759163 -0.718084 -0.248759
-1.868566 -1.856921 -1.747611
1.109683 1.113279 0.787654
0.804046 0.804402 0.515133
0.196993 0.086826 0.194520
-0.701555 -0.372736 -0.330054
1.072096 1.157173 0.601887
-1.810369 -1.813298 -0.648557
0.088649 -0.036992 0.072229
-1.444962 -1.448755 -0.657889
-0.891754 -0.951245 -0.470949
2.173877 2.212148 1.075621
0.120418 0.111575 0.151184
2.408341 2.662662 1.124080
-1.025141 -0.973546 -0.628945
-1.806963 -1.488442 -0.634467
0.496383 0.425338 0.278081
-0.380461 -0.405634 -0.144507
-0.302996 -0.287877 -0.152269
1.012494 0.966342 0.761996
0.358948 0.339780 0.154079
1.059914 1.083380 0.648928
0.214997 0.078714 0.204578
-0.114761 -0.135507 -0.131259
0.476053 0.553216 0.312136
-1.040031 -1.050993 -0.337521
-2.081739 -1.763846 -0.920583
-0.319096 -0.261275 -0.209989
3.440356 3.453051 2.238526
0.454778 0.414067 0.697506
-0.994006 -0.934332 -0.993601
0.070269 -0.038713 -0.018052
-0.149338 -0.038881 0.029444
-3.210552 -3.222693 -1.018185
-1.753140 -1.651391 -0.409617
0.355282 0.347756 0.169788
-0.181558 -0.042450 -0.176819
-0.051872 -0.029986 0.016006
3.992083 3.984364 3.115856
0.123094 0.086271 0.339325
0.035108 0.046895 0.123688
0.567230 0.607019 0.322031
8.828302 8.578284 2.725160
-0.033676 0.034145 0.051483
-0.029392 -0.000078 0.174698
0.504694 0.791728 0.303599
-1.631301 -1.572328 -0.737563
1.470027 1.441040 1.858699
-0.581161 -0.572131 -0.259159
0.343305 0.388502 0.234374
0.437834 0.396378 0.180970
-0.253873 -0.364283 -0.139507
-0.046447 -0.061387 0.016304
0.079909 0.096887 0.090113
0.244405 0.125153 0.309620
0.066021 0.050228 0.118073
0.345786 0.606091 0.274018
0.872574 1.088820 0.334800
0.419130 0.398092 0.251957
0.292238 0.263273 0.062431
0.136709 0.281154 0.109664
-0.952587 -1.063418 -0.867786
0.163415 0.138685 0.147587
1.367720 1.399777 0.899538
0.508588 0.377252 0.276620
0.255255 0.156284 0.127381
-0.524769 -0.607463 -0.205503
7.567547 7.486962 1.272703
-1.199175 -1.212228 -1.338669
0.125434 0.172009 0.030231
-0.262811 -0.261642 -0.169264
0.570273 0.745296 0.356774
-2.848154 -2.825582 -1.501849
-0.104997 -0.058655 0.004178
0.225009 0.105802 0.075517
-1.218695 -1.388765 -0.937949
0.704628 0.584374 0.156897
13.682222 14.096308 6.035142
0.282490 0.301117 0.244901
-0.301807 -0.267331 -0.151545
-1.759617 -1.855483 -0.644062
1.163878 1.165625 0.726085
-0.203693 -0.197980 -0.147801
-0.030975 0.099384 0.112377
-0.834041 -0.881768 -0.471686
-1.729924 -1.723099 -0.950093
-0.341431 -0.318031 -0.288801
0.381565 -0.106465 0.083298
-0.088080 -0.090659 0.000265
-2.538813 -2.520114 -1.317266
-1.324293 -1.305998 -0.684665
-1.281498 -1.278957 -0.709131
1.371596 1.276508 -0.349746
-0.078054 -0.191731 0.189551
-1.477537 -1.805278 -0.729273
-0.948584 -0.832896 -0.475850
3.051748 3.076821 1.887459
-0.851389 -0.913855 -0.261646
-0.789271 -0.784173 -0.545969
1.035649 1.200589 0.698865
0.147936 0.171389 0.012872
-0.109040 -0.098258 0.015419
-0.044626 -0.032495 -0.023260
2.819072 2.782208 0.747806
2.469846 2.177511 0.329603
-0.448282 -0.439669 -0.233393
3.101628 3.081216 1.107877
-0.232097 -0.301200 -0.378520
-2.749680 -2.701932 -0.973792
1.182475 1.183900 0.820724
0.718727 0.826070 0.463044
-0.767324 -0.794756 -0.221669
7.025764 7.017237 5.601081
0.375130 0.435242 0.227430
-0.613606 -0.819579 -0.368497
0.281573 0.338184 -0.098485
2.709023 2.577274 1.105326
0.797587 1.009722 0.444150
-0.715209 -0.762521 -0.323347
2.472877 2.482667 0.931490
0.888790 1.295898 0.413412
3.626401 3.633245 2.314838
2.009761 1.997978 1.186018
-4.620651 -4.594745 -2.375664
-0.820255 -0.842405 -1.037222
-1.148709 -0.663187 -0.103853
5.998757 5.981672 2.906380
-0.379932 -0.199260 -0.041389
0.225170 0.325908 0.149057
0.658552 0.804619 0.371914
-3.575321 -3.832223 -1.728064
1.146349 1.065640 0.623046
0.253275 0.170203 0.121752
7.020212 6.923677 6.634403
-0.488925 -0.442707 -0.153787
-0.343640 -0.342598 -0.155362
-0.767353 -0.716405 -0.774964
-1.351310 -1.363755 -0.454348
-0.355697 -0.317325 -0.217787
7.976260 7.909709 6.706328
-0.201039 -0.198360 -0.019099
-1.022826 -1.240150 -0.571069
-0.629241 -0.638995 0.212690
11.723411 11.684201 8.842395
3.048238 3.044107 2.278902
-1.537126 -1.631167 -0.942275
-1.693737 -1.716201 -0.758741
-1.360721 -1.317378 -0.515127
-0.022707 -0.042072 -0.049317
0.343792 0.305656 0.232724
0.363230 0.290856 0.262343
0.065539 0.023801 -0.031464
0.134788 0.141793 0.097337
1.624568 1.601150 1.055712
-0.901466 -0.929427 -1.298618
0.352749 0.288659 0.255397
0.469500 0.420379 0.265086
-0.102329 -0.054455 -0.038070
-1.814199 -1.568340 -0.954999
-0.038026 -0.079669 0.056149
0.439713 0.323270 0.163011
-1.629624 -1.609827 -0.305213
1.177101 1.233223 0.317120
-0.764767 -0.753622 -0.386740
0.754507 0.757649 0.386720
-2.020699 -2.067427 -1.115513
-0.845913 -0.735552 -0.204673
0.473612 0.384694 0.197110
0.509608 0.600939 0.349240
-0.439032 -0.443490 -0.242272
0.250679 0.189846 -0.327847
0.388479 0.311525 0.096150
-0.325632 -0.585506 -0.511867
-0.915056 -0.855008 -0.484574
7.819859 7.463166 1.895273
1.957251 2.061972 1.141317
-0.132622 -0.073873 0.096363
-0.710746 -0.845051 1.302005
0.005828 0.220401 0.010357
0.218177 0.189510 0.170627
0.061285 0.024403 -0.339418
-1.662436 -1.675915 -1.855746
-1.836538 -1.685291 -0.306271
0.443283 0.450914 -0.953559
-0.698195 -0.509630 0.273244
0.164145 0.152592 0.173130
-0.286905 -0.262318 -0.112124
-1.671524 -1.724478 -1.024058
21.459357 21.492313 5.427099
-0.922813 -0.902641 -0.511317
-0.187362 -0.191243 -0.104398
-1.661456 -1.509543 -0.933543
0.395418 0.327984 0.280052
0.183036 0.170401 0.030979
8.135720 8.056754 10.522371
0.159914 0.042664 0.086132
-0.607480 -0.571756 -0.093271
0.405724 0.457405 0.253436
-0.157201 -0.389874 0.023928
-0.069968 -0.274845 -0.064504
4.557048 4.506650 6.242201
2.582161 2.666341 0.241734
0.151702 0.065757 0.102903
-0.229601 -0.168199 -0.077200
-0.248886 -0.205393 -0.109728
0.250628 0.178090 0.115082
-1.264761 -1.216768 -0.514026
-2.783643 -2.442794 -1.066454
1.404417 1.497045 1.192421
-2.220505 -2.508398 -1.546247
0.731420 0.748444 0.495368
-1.774160 -1.657691 -1.218300
1.844417 1.926438 0.756352
4.130385 4.092051 3.240560
-0.008245 -0.004030 0.002349
-0.754978 -0.819858 -0.584996
13.569101 13.295325 7.095039
10.627603 10.243047 6.501545
-1.945572 -1.955089 -0.823022
0.115874 -0.027992 -0.019962
1.130772 0.929773 0.703677
-0.561659 -0.549794 -0.294712
-0.698855 -0.647455 -0.295799
-0.068617 -0.279126 0.019010
0.643362 0.653682 0.176119
-2.158076 -2.033089 -0.805704
-0.333121 -0.277281 -0.223081
-1.541499 -1.542039 -0.702873
0.140073 0.017392 0.080364
-0.584286 -0.733834 0.016855
-0.448632 -0.532894 -0.165806
5.404995 5.424485 10.640857
0.645918 0.685480 0.405110
8.276582 8.378406 2.851467
0.016743 -0.112098 0.514523
-1.525086 -1.509726 -0.834768
-1.049188 -1.081823 -0.469426
-0.345933 -0.344996 0.208587
5.347462 5.327677 3.383714
-0.137955 -0.182311 -0.086455
-0.313277 -0.385445 -0.134271
0.660554 0.588250 0.367258
-0.422980 -0.424388 -0.214077
-0.020939 -0.039099 -0.054917
-0.324913 -0.376898 -0.443459
-0.065264 -0.073211 -0.042240
0.152821 0.037838 0.055475
0.125033 0.072808 0.010753
-0.463000 -0.319911 -0.240381
-0.730022 -0.811619 -0.275723
-0.650180 -0.649040 -0.325527
-0.196448 -0.169395 -0.126310
-0.629406 -0.615531 -0.039739
-1.401975 -1.260055 -0.615599
0.289813 0.376653 0.204266
12.461728 12.410634 9.820838
-0.168823 -0.137866 -0.042988
-0.133576 -0.171550 0.060604
11.174547 11.194563 10.465562
-0.897671 -0.857405 -0.569317
-0.183530 -0.242266 -0.167284
-0.249888 0.503277 0.406732
-0.995349 -1.114557 -0.229331
-0.872355 -0.869223 -0.637913
0.257228 0.243644 0.159323
-0.390955 -0.341933 -0.201165
1.660205 1.644266 0.808626
-0.824819 -0.863676 -0.609333
-0.672532 -0.607815 -0.482434
5.962918 6.024404 1.664014
2.745879 2.656005 2.709905
0.616287 0.600685 0.115892
4.353057 4.195893 1.819070
-0.328389 -0.277398 -0.107782
-0.145531 0.039779 0.067275
0.447140 0.261647 0.543649
17.124215 16.808314 7.087289
1.046261 1.009173 0.390779
-1.092671 -1.174894 -0.383522
-0.461230 -0.406243 0.277508
-0.084736 -0.133760 -0.284989
-0.502135 -0.513191 -0.382153
0.144736 0.167001 -0.221824
3.284823 3.373713 1.170156
0.441512 0.425527 0.077073
4.845410 4.068832 5.153985
0.038031 0.069443 0.147569
-1.225622 -1.304026 -0.507017
-0.762571 -0.687325 -0.337672
0.690344 0.756920 0.462687
-0.462464 -0.474306 -0.272879
-0.441324 -0.445719 -0.240739
0.168153 0.163938 0.070664
-0.176825 -0.208841 -0.067581
-0.021525 -0.046887 -0.019596
-0.247797 -0.174518 -0.086729
-1.829493 -1.828046 -0.744648
0.800118 1.029454 0.595894
0.115315 0.072676 0.074325
-0.798547 -0.904982 -0.512526
-1.496029 -1.452621 -0.764524
0.873488 0.880621 0.317256
-1.365380 -1.355097 -0.748910
-0.044442 -0.031158 0.090439
0.793363 0.832637 0.577775
0.116502 0.176233 0.058189
-0.346754 -0.314522 -0.141914
0.085798 0.146898 0.147074
0.345699 0.311260 0.133164
0.671615 0.823231 0.681076
-0.631302 -0.507058 -0.039128
0.312787 0.280490 0.121183
13.745180 10.340176 4.388912
-0.698748 -0.756944 -0.089648
0.994782 0.984483 1.156810
-0.363295 -0.529856 -0.393664
-0.672699 -0.504864 -0.304491
14.634645 14.526975 8.482543
-0.071356 -0.067328 0.042665
0.787666 0.775312 0.320635
-0.035850 -0.007597 -0.068282
-0.222828 -0.226303 -0.055940
0.477026 0.353414 0.271077
-0.064928 -0.057549 -0.001375
-1.169604 -1.153538 -0.495498
-0.047528 -0.043990 0.052115
-2.039900 -2.025844 -0.901720
-0.085548 -0.257630 -0.023036
-1.527824 -1.580336 -0.457029
0.337014 0.248790 0.174412
0.385343 0.252124 0.206160
0.988499 1.053066 0.479855
1.373203 1.592654 0.349386
0.083295 -0.094632 0.069597
0.078274 -0.003701 -0.040886
0.080021 0.115290 0.106873
0.974728 0.982992 0.512878
-1.741862 -1.597413 -1.160741
1.735489 1.769664 2.567436
0.348291 0.407098 -0.700021
-0.260650 -0.288108 -0.091581
0.058833 0.076345 0.019368
-0.035356 -0.022906 -0.353691
0.183978 0.011442 0.006037
0.125257 0.051224 0.111606
-1.590775 -1.462305 -0.606292
0.058328 -0.092187 -0.119606
0.229839 0.264459 0.098848
-1.059704 -1.209801 -0.743978
-0.188190 -0.388460 -0.201805
-0.363431 -0.395104 -0.205917
-1.513946 -1.921110 0.809415
-0.035786 -0.121887 0.252029
-1.615309 -1.699089 -0.743354
0.222717 0.141458 0.421494
-1.839323 -1.851827 -1.361900
0.786442 0.654826 0.453826
0.303795 0.318672 0.109841
-3.418101 -3.335827 -1.969585
-1.633398 -1.375216 -0.860046
0.175172 0.157911 0.168163
1.389598 1.477020 0.785684
1.134251 1.135316 0.439915
-0.092935 -0.166701 0.012966
-1.080937 -0.982685 -0.222683
2.407950 1.653581 0.972614
-1.828505 -1.708415 -0.891033
-1.861685 -1.879299 -0.502055
-0.020099 -0.023303 0.014091
3.209747 3.075735 1.474292
0.695397 0.714628 0.427803
0.204520 0.217982 -0.503890
-1.978730 -1.938053 -1.021827
4.059088 4.368384 1.140017
-0.687653 -0.785112 -0.290480
-0.327525 -0.323477 -0.157682
3.522064 3.556321 2.271637
-1.712591 -1.675191 -0.571692
1.012207 1.136416 -0.169531
2.887140 2.876051 1.872488
0.212595 0.298248 0.237584
-0.478496 -0.504345 -0.233186
0.844892 0.898360 0.345905
0.715911 0.745773 0.332403
-2.148954 -2.360801 -0.944635
6.216751 6.128972 7.021567
0.331016 0.113819 0.184660
-0.580890 -0.498754 -0.320337
-2.158235 -2.120807 -1.571212
-0.592480 -0.633565 -0.351395
-0.433409 -0.483591 0.042611
0.371791 0.454728 0.304969
-0.042319 -0.005856 0.076720
-0.654282 -0.807863 -1.212291
1.520867 1.511343 0.623378
5.257540 5.268244 4.840087
-1.756790 -1.697186 -0.798659
-0.475279 -0.453913 -0.002294
0.566018 0.428547 0.338218
0.392327 0.231549 0.224127
0.130023 0.091549 0.225207
-0.866062 -0.809242 -0.192081
-0.639408 -0.624661 -0.331663
0.279238 0.319742 0.240824
0.297278 0.308206 0.152086
-0.212780 -0.172263 -0.118716
-0.451130 -0.442906 -0.246423
2.158982 2.162433 1.636448
-0.654539 -0.593613 -0.250039
0.924736 0.944625 0.643301
4.417936 4.293122 0.630822
0.053412 0.073318 0.016917
1.280242 1.283969 3.125545
7.872443 7.832089 4.311772
-0.525993 -0.599538 -0.332536
-0.078221 -0.096222 0.142927
1.140145 1.089522 0.826159
-0.611340 -0.576446 -0.271949
0.545987 0.626927 0.328997
-0.535620 -0.574850 -0.297058
-0.668670 -0.545104 -0.201335
-2.678996 -2.643570 -1.120920
-0.456341 -0.445001 -0.111644
2.546473 2.518248 1.243182
-1.260341 -1.303632 -0.731859
0.385311 0.391687 0.339531
-2.187681 -2.236726 -1.364764
-0.274386 -0.264082 -0.074021
0.662230 0.729576 0.418246
1.023677 0.990034 0.027870
13.288468 13.468057 6.417104
-1.036952 -1.068487 -0.490767
-1.446294 -1.510800 -0.798844
-1.507557 -1.449675 -0.481310
-0.710554 -0.891479 -1.229936
0.887263 0.822505 0.538751
-1.130308 -1.039391 -0.528039
-0.286986 -0.274652 -0.103853
1.513100 1.486749 0.598017
-0.443625 -0.417828 -0.236014
0.749726 0.812662 0.315611
-0.500342 -0.465276 -0.256723
-1.235034 -1.206228 -0.488670
-0.414353 -0.471492 -0.293671
-0.568194 -0.462962 -0.308683
-1.583203 -1.508356 -1.399311
0.533445 0.473683 0.618607
-0.172430 -0.143482 -0.099633
-0.550496 -0.561231 -0.228454
-1.368628 -1.287127 -0.566551
0.743596 0.852700 0.299958
-2.356717 -2.326574 -1.234958
-0.882922 -0.900022 -0.421863
3.012271 2.946081 1.276193
0.528498 0.623404 0.366907
0.050380 0.123080 -0.140955
-0.200913 -0.143671 -0.155956
0.391410 0.393151 -0.052987
7.018038 7.293555 2.913183
0.723258 0.881899 0.452161
3.408856 3.397371 3.758074
-0.364397 -0.323721 -0.171083
-0.561686 -0.373354 -0.103039
-1.824705 -1.786188 -1.092342
2.223096 2.034111 1.163407
-0.742908 -0.820768 -0.415156
1.068634 0.861923 0.638498
-0.638460 -0.697785 -0.350920
4.402767 4.328262 0.289767
-2.178906 -2.373725 -0.341127
-2.243529 -2.278166 -0.866499
-1.320164 -1.362183 -0.700979
6.191499 6.265035 5.699876
