#QM    interpInQMgrid400k    MM
0.016798 -0.012878 -0.001532
1.484936 1.392781 0.783331
2.074492 2.090430 0.738724
-10.783534 -10.585328 -2.954718
-15.392203 -15.168495 -3.794416
-1.593478 -1.526845 -0.862093
8.451115 8.316450 -0.575570
3.638864 3.612724 0.120213
21.181961 21.173330 -3.790502
-0.026418 -0.081830 -0.066902
-0.019576 -0.054786 -0.035101
-0.142066 -0.122788 -0.078801
1.342316 1.376726 0.721627
1.617205 1.600709 0.764517
1.592141 1.634370 0.482084
-1.051079 -1.050481 -0.386443
0.426531 0.207217 0.380664
-0.606949 -0.199344 -0.311993
0.233347 0.166761 0.092705
0.202214 0.169611 0.087147
-0.140851 -0.191653 -0.073905
-0.090817 -0.140715 -0.031270
-0.007207 0.199005 0.018175
0.805257 0.619419 0.334693
2.648170 2.687051 -0.631101
5.136755 5.137584 1.548497
1.654304 1.571777 0.177579
1.784431 1.722294 0.531622
1.289066 1.350199 0.847617
-0.401940 -0.361049 -0.129641
-0.307986 -0.242961 -0.096836
0.208879 0.197894 0.071704
-0.155691 -0.204447 -0.097849
-0.033102 -0.060098 -0.003379
-0.282925 -0.246907 -0.111184
-0.189808 -0.133066 -0.078017
7.322174 6.059590 2.186221
4.655341 5.046694 -0.521983
-13.027312 -12.637052 -2.446393
0.147088 0.130196 0.106363
-0.115882 -0.024441 0.008846
0.034549 0.121332 0.106268
0.237737 0.103182 0.156628
0.278056 0.062496 0.104830
-0.155348 -0.129107 -0.149293
0.060570 0.017674 0.053730
-0.115329 -0.134114 -0.070345
0.266833 0.167085 0.065043
-0.265653 -0.100667 -0.141777
1.397752 0.880090 0.583623
-1.524223 -1.283937 -0.817416
-0.025871 0.030686 -0.033660
0.111166 0.058693 0.050594
-0.232537 -0.198217 -0.119432
-0.427782 -0.593811 -0.170725
-0.159827 -0.154238 0.032568
0.464864 0.227675 0.201247
0.142323 0.100606 0.082067
-0.233104 -0.165811 -0.103436
0.008340 -0.050112 -0.007180
-18.407543 -17.725557 -3.188713
12.856269 12.159769 1.075899
3.571051 3.483133 0.472723
0.763676 0.662578 0.160099
0.356206 0.435429 0.254246
-2.585879 -2.504731 -1.141063
0.451142 0.350898 -0.122133
