#QM    interpInQMgrid400k    MM
0.188764 -49.539075 -0.317414
2.110961 -10.938551 0.684293
-1.453492 -7.512367 -0.873700
2.495524 68.796553 0.193429
-1.299739 -29.641817 -0.151637
0.379777 -2.396157 -0.113137
5.876856 -41.938022 -0.236356
-2.920290 55.924723 -2.007840
-4.689088 -55.969152 -0.296861
0.006176 -8.620538 -0.044955
0.316709 -13.696077 0.126541
0.147897 -12.027338 0.132617
-0.205450 -51.638388 0.224668
-0.171060 30.858704 -0.402727
0.608154 -4.527364 0.591316
1.064144 -16.704463 0.487892
-0.301139 33.319986 -0.126092
-1.587734 26.415970 -0.432973
-0.062901 9.702378 -0.080721
0.222835 19.604378 0.147942
0.116181 -1.143495 0.091112
-1.148068 6.408814 -0.469470
-0.083997 21.500363 -0.116317
0.005425 21.449562 0.010259
0.876289 -43.392170 0.579441
3.597456 -44.759030 1.201377
-3.201617 -14.029369 -2.013432
-1.896097 -10.198173 -0.987788
2.067887 -41.504320 0.621957
-2.100129 43.815548 -0.261065
-0.226107 17.925987 -0.151494
-0.331255 -10.841422 -0.216952
-0.087316 3.484613 -0.037744
0.083701 2.234501 0.036181
0.107914 -12.195582 0.039147
-0.211830 4.683667 -0.044863
8.662435 -10.882438 3.262067
8.575613 8.601007 2.410402
8.463722 -68.087337 3.037164
0.201978 16.599945 0.234398
-0.053227 20.189213 -0.024501
0.647111 24.111173 0.237298
-0.510603 -23.599457 -0.180758
0.048652 -17.056060 -0.123465
-0.143648 -10.674318 0.040783
0.678571 -11.281844 0.302512
0.142956 14.495594 0.129129
-0.187045 -8.181537 -0.138173
1.322712 -2.830966 0.870370
1.059364 -45.856233 0.507547
1.678406 18.368821 0.553031
0.314572 16.332827 0.181803
0.482753 -19.901578 0.202290
0.242974 13.847122 0.119196
-0.794572 35.968810 -0.271468
0.632754 1.624436 0.250021
-0.125342 -4.555761 -0.123483
-0.405466 14.215228 -0.141727
-0.180001 -6.762769 -0.089899
0.327291 -3.523888 0.189738
-4.974814 -42.918880 -1.048370
-2.193104 53.217834 -0.026670
-11.280473 7.458925 -3.279048
-1.938503 3.959438 -0.545006
-0.881347 36.137775 -0.242438
-0.664508 32.272295 -0.073713
-0.498977 -8.922404 -0.246107
-0.452206 -43.891764 -0.204036
-0.667880 -28.272298 -0.135089
-0.433742 4.733115 -0.266434
-0.290178 -7.154163 -0.205290
0.257573 22.810269 0.160834
0.255955 -6.965403 0.138981
0.557242 -17.334275 0.172171
0.409040 23.401577 0.231399
-1.725622 -51.621584 -0.646040
2.819553 38.758645 0.845925
3.147160 4.613615 1.309166
0.139360 14.011356 0.062984
-0.356815 7.134131 -0.144133
-0.042005 2.984544 -0.054174
0.723075 25.181862 0.508718
-0.035955 31.034398 -0.078780
-0.593578 7.402992 -0.188066
-0.853662 8.516918 -0.352597
1.226113 -4.303023 0.659001
-2.045888 -66.911820 -1.277818
1.726409 6.721038 0.638133
0.553705 2.301840 0.446369
0.042683 38.682325 0.052313
12.153643 -59.655056 1.790941
22.514630 -48.207724 3.772162
75.241766 16.466545 13.616901
0.363355 -7.292671 0.251508
0.100220 10.262897 -0.014781
-0.093206 -19.133823 -0.036081
2.870788 35.075284 1.330334
-0.567316 64.303013 -0.271465
-1.215323 0.436988 -0.485503
-0.430668 19.543174 -0.212645
0.126916 -9.859736 0.125905
0.408387 6.022867 0.121290
0.423840 12.784331 0.181492
-0.306113 18.740468 -0.165640
-0.407009 3.953652 -0.210853
0.300183 45.780099 -0.084658
0.824874 24.059657 0.201899
2.894026 8.182728 1.036777
0.424461 44.580177 0.476766
-0.331683 28.423448 -0.074061
1.925294 16.519406 0.958365
-0.374830 -15.692112 -0.335982
-0.467927 22.985286 -0.294715
-0.982047 3.359772 -0.379034
0.580498 13.647019 0.389170
0.605371 -33.540969 0.322919
-1.207962 6.658128 -0.402709
0.582207 -35.532720 0.405579
-1.905224 -10.327033 -0.980198
-0.208174 6.101423 0.026808
-0.379429 1.936547 -0.139035
